gap,method,task_count,psnr,ssim,ms_ssim,lpips,payload_bytes,direct_rate_ref,status
4,stage151_linear_base_entropy_sideinfo_reference,60,22.895456117767825,0.6020039414366086,0.7726786529024442,0.3475280572970708,29908.516666666666,,historical_psnr_recovery_reference_not_final_visual_base
4,original_streamsplat_middle_base,60,22.06421822428011,0.6008085365096728,0.8013669446110725,0.3014947975675265,0.0,,perceptual_motion_geometry_base
4,stage155_q4_image_residual_upper_bound,30,32.280546434337076,0.8786723375320434,0.9775982022285461,0.15282797639568646,78548.73333333334,0.2568481303341566,upper_bound_only_not_final_gs_method
4,stage156_sampled_half_anchor_keep1_q6,30,29.88060850586717,0.8795753101507823,0.9853506326675415,0.16458002875248592,207591.66666666666,0.3799130615678806,sampled_gs_domain_discovery
4,stage158_streamsplat_guided_half_anchor_entropy_residual_v1,60,29.780485398070507,0.8779375642538071,0.9850881884495417,0.16601951060195763,209392.83333333334,0.3816307879574477,current_quality_first_middle_recovery_policy
8,stage151_linear_base_entropy_sideinfo_reference,60,21.809851951566433,0.5636065999666849,0.7226341560482978,0.38423423618078234,30091.616666666665,,historical_psnr_recovery_reference_not_final_visual_base
8,original_streamsplat_middle_base,60,20.33727549162514,0.5203309365858634,0.7005373592178027,0.3593370050191879,0.0,,perceptual_motion_geometry_base
8,stage155_q4_image_residual_upper_bound,30,31.718739219329834,0.863465295235316,0.9742599070072174,0.17084391911824545,82349.4,0.17615989450497918,upper_bound_only_not_final_gs_method
8,stage156_sampled_half_anchor_keep1_q6,30,29.54743990416001,0.8700549105803171,0.9840767443180084,0.17757029533386232,214067.13333333333,0.30177571380022644,sampled_gs_domain_discovery
8,stage158_streamsplat_guided_half_anchor_entropy_residual_v1,60,29.578682359235195,0.8696596751610438,0.9838472485542298,0.17853523269295693,215967.88333333333,0.3035884102571357,current_quality_first_middle_recovery_policy
